Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Performance
Intel Core i3-10105,CPU,2021,14.0,65.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i3-10105F,CPU,2021,14.0,65.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i7-11700K,CPU,2021,14.0,125.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i7-11700KF,CPU,2021,14.0,125.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6334,CPU,2021,10.0,165.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Pentium Gold G6505T,CPU,2021,14.0,35.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i9-11900K,CPU,2021,14.0,125.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Core i9-11900KF,CPU,2021,14.0,125.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Pentium Gold G6405T,CPU,2021,14.0,35.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 5315Y,CPU,2021,10.0,140.0,188.0,1930.0,3200,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8354H,CPU,2021,14.0,205.0,188.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6346,CPU,2021,10.0,205.0,188.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6354,CPU,2021,10.0,205.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i3-10105T,CPU,2021,14.0,35.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 5317,CPU,2021,10.0,150.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8360HL,CPU,2021,14.0,225.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i3-10305T,CPU,2021,14.0,35.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8360H,CPU,2021,14.0,225.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6326,CPU,2021,10.0,185.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
